"REF_DATE","GEO","DGUID","Age at time of death","Sex","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018","Canada, place of residence","2021A000011124","Age at time of death, 15 to 19 years","Both sexes","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222057","1.6.1.2","0.4","","","","1"
"2019","Canada, place of residence","2021A000011124","Age at time of death, 15 to 19 years","Both sexes","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222057","1.6.1.2","0.3","","","","1"
"2020","Canada, place of residence","2021A000011124","Age at time of death, 15 to 19 years","Both sexes","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222057","1.6.1.2","0.4","","","","1"
"2021","Canada, place of residence","2021A000011124","Age at time of death, 15 to 19 years","Both sexes","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222057","1.6.1.2","0.4","","","","1"
"2022","Canada, place of residence","2021A000011124","Age at time of death, 15 to 19 years","Both sexes","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222057","1.6.1.2","0.4","","","","1"
"2023","Canada, place of residence","2021A000011124","Age at time of death, 15 to 19 years","Both sexes","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222057","1.6.1.2","0.4","","","","1"
"2000","Canada, place of residence","2021A000011124","Age at time of death, 15 to 19 years","Males","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222059","1.6.2.2","0.7","","","","1"
"2001","Canada, place of residence","2021A000011124","Age at time of death, 15 to 19 years","Males","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222059","1.6.2.2","0.7","","","","1"
"2002","Canada, place of residence","2021A000011124","Age at time of death, 15 to 19 years","Males","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222059","1.6.2.2","0.6","","","","1"
"2003","Canada, place of residence","2021A000011124","Age at time of death, 15 to 19 years","Males","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222059","1.6.2.2","0.6","","","","1"
"2004","Canada, place of residence","2021A000011124","Age at time of death, 15 to 19 years","Males","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222059","1.6.2.2","0.6","","","","1"
"2005","Canada, place of residence","2021A000011124","Age at time of death, 15 to 19 years","Males","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222059","1.6.2.2","0.6","","","","1"
"2006","Canada, place of residence","2021A000011124","Age at time of death, 15 to 19 years","Males","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222059","1.6.2.2","0.6","","","","1"
"2007","Canada, place of residence","2021A000011124","Age at time of death, 15 to 19 years","Males","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222059","1.6.2.2","0.6","","","","1"
"2008","Canada, place of residence","2021A000011124","Age at time of death, 15 to 19 years","Males","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222059","1.6.2.2","0.5","","","","1"
"2009","Canada, place of residence","2021A000011124","Age at time of death, 15 to 19 years","Males","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222059","1.6.2.2","0.5","","","","1"
"2010","Canada, place of residence","2021A000011124","Age at time of death, 15 to 19 years","Males","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222059","1.6.2.2","0.5","","","","1"
"2011","Canada, place of residence","2021A000011124","Age at time of death, 15 to 19 years","Males","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222059","1.6.2.2","0.5","","","","1"
"2012","Canada, place of residence","2021A000011124","Age at time of death, 15 to 19 years","Males","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222059","1.6.2.2","0.5","","","","1"
"2013","Canada, place of residence","2021A000011124","Age at time of death, 15 to 19 years","Males","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222059","1.6.2.2","0.4","","","","1"
"2014","Canada, place of residence","2021A000011124","Age at time of death, 15 to 19 years","Males","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222059","1.6.2.2","0.5","","","","1"
"2015","Canada, place of residence","2021A000011124","Age at time of death, 15 to 19 years","Males","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222059","1.6.2.2","0.4","","","","1"
"2016","Canada, place of residence","2021A000011124","Age at time of death, 15 to 19 years","Males","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222059","1.6.2.2","0.4","","","","1"
"2017","Canada, place of residence","2021A000011124","Age at time of death, 15 to 19 years","Males","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222059","1.6.2.2","0.5","","","","1"
"2018","Canada, place of residence","2021A000011124","Age at time of death, 15 to 19 years","Males","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222059","1.6.2.2","0.5","","","","1"
"2019","Canada, place of residence","2021A000011124","Age at time of death, 15 to 19 years","Males","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222059","1.6.2.2","0.4","","","","1"
"2020","Canada, place of residence","2021A000011124","Age at time of death, 15 to 19 years","Males","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222059","1.6.2.2","0.4","","","","1"
"2021","Canada, place of residence","2021A000011124","Age at time of death, 15 to 19 years","Males","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222059","1.6.2.2","0.5","","","","1"
"2022","Canada, place of residence","2021A000011124","Age at time of death, 15 to 19 years","Males","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222059","1.6.2.2","0.5","","","","1"
"2023","Canada, place of residence","2021A000011124","Age at time of death, 15 to 19 years","Males","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222059","1.6.2.2","0.5","","","","1"
"2000","Canada, place of residence","2021A000011124","Age at time of death, 15 to 19 years","Females","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222061","1.6.3.2","0.3","","","","1"
"2001","Canada, place of residence","2021A000011124","Age at time of death, 15 to 19 years","Females","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222061","1.6.3.2","0.3","","","","1"
"2002","Canada, place of residence","2021A000011124","Age at time of death, 15 to 19 years","Females","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222061","1.6.3.2","0.3","","","","1"
"2003","Canada, place of residence","2021A000011124","Age at time of death, 15 to 19 years","Females","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222061","1.6.3.2","0.3","","","","1"
"2004","Canada, place of residence","2021A000011124","Age at time of death, 15 to 19 years","Females","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222061","1.6.3.2","0.3","","","","1"
"2005","Canada, place of residence","2021A000011124","Age at time of death, 15 to 19 years","Females","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222061","1.6.3.2","0.3","","","","1"
"2006","Canada, place of residence","2021A000011124","Age at time of death, 15 to 19 years","Females","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222061","1.6.3.2","0.3","","","","1"
"2007","Canada, place of residence","2021A000011124","Age at time of death, 15 to 19 years","Females","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222061","1.6.3.2","0.3","","","","1"
"2008","Canada, place of residence","2021A000011124","Age at time of death, 15 to 19 years","Females","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222061","1.6.3.2","0.3","","","","1"
"2009","Canada, place of residence","2021A000011124","Age at time of death, 15 to 19 years","Females","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222061","1.6.3.2","0.3","","","","1"
"2010","Canada, place of residence","2021A000011124","Age at time of death, 15 to 19 years","Females","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222061","1.6.3.2","0.2","","","","1"
"2011","Canada, place of residence","2021A000011124","Age at time of death, 15 to 19 years","Females","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222061","1.6.3.2","0.2","","","","1"
"2012","Canada, place of residence","2021A000011124","Age at time of death, 15 to 19 years","Females","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222061","1.6.3.2","0.3","","","","1"
"2013","Canada, place of residence","2021A000011124","Age at time of death, 15 to 19 years","Females","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222061","1.6.3.2","0.2","","","","1"
"2014","Canada, place of residence","2021A000011124","Age at time of death, 15 to 19 years","Females","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222061","1.6.3.2","0.2","","","","1"
"2015","Canada, place of residence","2021A000011124","Age at time of death, 15 to 19 years","Females","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222061","1.6.3.2","0.2","","","","1"
"2016","Canada, place of residence","2021A000011124","Age at time of death, 15 to 19 years","Females","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222061","1.6.3.2","0.2","","","","1"
"2017","Canada, place of residence","2021A000011124","Age at time of death, 15 to 19 years","Females","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222061","1.6.3.2","0.2","","","","1"
"2018","Canada, place of residence","2021A000011124","Age at time of death, 15 to 19 years","Females","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222061","1.6.3.2","0.2","","","","1"
"2019","Canada, place of residence","2021A000011124","Age at time of death, 15 to 19 years","Females","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222061","1.6.3.2","0.2","","","","1"
"2020","Canada, place of residence","2021A000011124","Age at time of death, 15 to 19 years","Females","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222061","1.6.3.2","0.3","","","","1"
"2021","Canada, place of residence","2021A000011124","Age at time of death, 15 to 19 years","Females","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222061","1.6.3.2","0.3","","","","1"
"2022","Canada, place of residence","2021A000011124","Age at time of death, 15 to 19 years","Females","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222061","1.6.3.2","0.3","","","","1"
"2023","Canada, place of residence","2021A000011124","Age at time of death, 15 to 19 years","Females","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222061","1.6.3.2","0.3","","","","1"
"2000","Canada, place of residence","2021A000011124","Age at time of death, 20 to 24 years","Both sexes","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222063","1.7.1.2","0.6","","","","1"
"2001","Canada, place of residence","2021A000011124","Age at time of death, 20 to 24 years","Both sexes","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222063","1.7.1.2","0.6","","","","1"
"2002","Canada, place of residence","2021A000011124","Age at time of death, 20 to 24 years","Both sexes","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222063","1.7.1.2","0.6","","","","1"
"2003","Canada, place of residence","2021A000011124","Age at time of death, 20 to 24 years","Both sexes","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222063","1.7.1.2","0.6","","","","1"
"2004","Canada, place of residence","2021A000011124","Age at time of death, 20 to 24 years","Both sexes","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222063","1.7.1.2","0.6","","","","1"
"2005","Canada, place of residence","2021A000011124","Age at time of death, 20 to 24 years","Both sexes","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222063","1.7.1.2","0.6","","","","1"
"2006","Canada, place of residence","2021A000011124","Age at time of death, 20 to 24 years","Both sexes","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222063","1.7.1.2","0.6","","","","1"
"2007","Canada, place of residence","2021A000011124","Age at time of death, 20 to 24 years","Both sexes","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222063","1.7.1.2","0.6","","","","1"
"2008","Canada, place of residence","2021A000011124","Age at time of death, 20 to 24 years","Both sexes","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222063","1.7.1.2","0.6","","","","1"
"2009","Canada, place of residence","2021A000011124","Age at time of death, 20 to 24 years","Both sexes","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222063","1.7.1.2","0.5","","","","1"
"2010","Canada, place of residence","2021A000011124","Age at time of death, 20 to 24 years","Both sexes","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222063","1.7.1.2","0.5","","","","1"
"2011","Canada, place of residence","2021A000011124","Age at time of death, 20 to 24 years","Both sexes","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222063","1.7.1.2","0.5","","","","1"
"2012","Canada, place of residence","2021A000011124","Age at time of death, 20 to 24 years","Both sexes","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222063","1.7.1.2","0.5","","","","1"
"2013","Canada, place of residence","2021A000011124","Age at time of death, 20 to 24 years","Both sexes","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222063","1.7.1.2","0.5","","","","1"
"2014","Canada, place of residence","2021A000011124","Age at time of death, 20 to 24 years","Both sexes","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222063","1.7.1.2","0.5","","","","1"
"2015","Canada, place of residence","2021A000011124","Age at time of death, 20 to 24 years","Both sexes","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222063","1.7.1.2","0.5","","","","1"
"2016","Canada, place of residence","2021A000011124","Age at time of death, 20 to 24 years","Both sexes","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222063","1.7.1.2","0.5","","","","1"
"2017","Canada, place of residence","2021A000011124","Age at time of death, 20 to 24 years","Both sexes","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222063","1.7.1.2","0.6","","","","1"
"2018","Canada, place of residence","2021A000011124","Age at time of death, 20 to 24 years","Both sexes","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222063","1.7.1.2","0.6","","","","1"
"2019","Canada, place of residence","2021A000011124","Age at time of death, 20 to 24 years","Both sexes","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222063","1.7.1.2","0.5","","","","1"
"2020","Canada, place of residence","2021A000011124","Age at time of death, 20 to 24 years","Both sexes","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222063","1.7.1.2","0.6","","","","1"
"2021","Canada, place of residence","2021A000011124","Age at time of death, 20 to 24 years","Both sexes","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222063","1.7.1.2","0.6","","","","1"
"2022","Canada, place of residence","2021A000011124","Age at time of death, 20 to 24 years","Both sexes","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222063","1.7.1.2","0.6","","","","1"
"2023","Canada, place of residence","2021A000011124","Age at time of death, 20 to 24 years","Both sexes","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222063","1.7.1.2","0.6","","","","1"
"2000","Canada, place of residence","2021A000011124","Age at time of death, 20 to 24 years","Males","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222065","1.7.2.2","0.9","","","","1"
"2001","Canada, place of residence","2021A000011124","Age at time of death, 20 to 24 years","Males","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222065","1.7.2.2","0.9","","","","1"
"2002","Canada, place of residence","2021A000011124","Age at time of death, 20 to 24 years","Males","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222065","1.7.2.2","0.8","","","","1"
"2003","Canada, place of residence","2021A000011124","Age at time of death, 20 to 24 years","Males","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222065","1.7.2.2","0.9","","","","1"
"2004","Canada, place of residence","2021A000011124","Age at time of death, 20 to 24 years","Males","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222065","1.7.2.2","0.8","","","","1"
"2005","Canada, place of residence","2021A000011124","Age at time of death, 20 to 24 years","Males","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222065","1.7.2.2","0.9","","","","1"
"2006","Canada, place of residence","2021A000011124","Age at time of death, 20 to 24 years","Males","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222065","1.7.2.2","0.8","","","","1"
"2007","Canada, place of residence","2021A000011124","Age at time of death, 20 to 24 years","Males","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222065","1.7.2.2","0.8","","","","1"
"2008","Canada, place of residence","2021A000011124","Age at time of death, 20 to 24 years","Males","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222065","1.7.2.2","0.8","","","","1"
"2009","Canada, place of residence","2021A000011124","Age at time of death, 20 to 24 years","Males","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222065","1.7.2.2","0.8","","","","1"
"2010","Canada, place of residence","2021A000011124","Age at time of death, 20 to 24 years","Males","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222065","1.7.2.2","0.7","","","","1"
"2011","Canada, place of residence","2021A000011124","Age at time of death, 20 to 24 years","Males","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222065","1.7.2.2","0.8","","","","1"
"2012","Canada, place of residence","2021A000011124","Age at time of death, 20 to 24 years","Males","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222065","1.7.2.2","0.7","","","","1"
"2013","Canada, place of residence","2021A000011124","Age at time of death, 20 to 24 years","Males","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222065","1.7.2.2","0.7","","","","1"
"2014","Canada, place of residence","2021A000011124","Age at time of death, 20 to 24 years","Males","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222065","1.7.2.2","0.7","","","","1"
"2015","Canada, place of residence","2021A000011124","Age at time of death, 20 to 24 years","Males","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222065","1.7.2.2","0.7","","","","1"
"2016","Canada, place of residence","2021A000011124","Age at time of death, 20 to 24 years","Males","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222065","1.7.2.2","0.8","","","","1"
"2017","Canada, place of residence","2021A000011124","Age at time of death, 20 to 24 years","Males","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222065","1.7.2.2","0.8","","","","1"
"2018","Canada, place of residence","2021A000011124","Age at time of death, 20 to 24 years","Males","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222065","1.7.2.2","0.8","","","","1"
"2019","Canada, place of residence","2021A000011124","Age at time of death, 20 to 24 years","Males","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222065","1.7.2.2","0.7","","","","1"
"2020","Canada, place of residence","2021A000011124","Age at time of death, 20 to 24 years","Males","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222065","1.7.2.2","0.8","","","","1"
"2021","Canada, place of residence","2021A000011124","Age at time of death, 20 to 24 years","Males","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222065","1.7.2.2","0.9","","","","1"
"2022","Canada, place of residence","2021A000011124","Age at time of death, 20 to 24 years","Males","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222065","1.7.2.2","0.8","","","","1"
"2023","Canada, place of residence","2021A000011124","Age at time of death, 20 to 24 years","Males","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222065","1.7.2.2","0.7","","","","1"
"2000","Canada, place of residence","2021A000011124","Age at time of death, 20 to 24 years","Females","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222067","1.7.3.2","0.4","","","","1"
"2001","Canada, place of residence","2021A000011124","Age at time of death, 20 to 24 years","Females","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222067","1.7.3.2","0.3","","","","1"
"2002","Canada, place of residence","2021A000011124","Age at time of death, 20 to 24 years","Females","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222067","1.7.3.2","0.3","","","","1"
"2003","Canada, place of residence","2021A000011124","Age at time of death, 20 to 24 years","Females","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222067","1.7.3.2","0.3","","","","1"
"2004","Canada, place of residence","2021A000011124","Age at time of death, 20 to 24 years","Females","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222067","1.7.3.2","0.3","","","","1"
"2005","Canada, place of residence","2021A000011124","Age at time of death, 20 to 24 years","Females","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222067","1.7.3.2","0.3","","","","1"
"2006","Canada, place of residence","2021A000011124","Age at time of death, 20 to 24 years","Females","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222067","1.7.3.2","0.3","","","","1"
"2007","Canada, place of residence","2021A000011124","Age at time of death, 20 to 24 years","Females","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222067","1.7.3.2","0.3","","","","1"
"2008","Canada, place of residence","2021A000011124","Age at time of death, 20 to 24 years","Females","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222067","1.7.3.2","0.3","","","","1"
"2009","Canada, place of residence","2021A000011124","Age at time of death, 20 to 24 years","Females","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222067","1.7.3.2","0.3","","","","1"
"2010","Canada, place of residence","2021A000011124","Age at time of death, 20 to 24 years","Females","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222067","1.7.3.2","0.3","","","","1"
"2011","Canada, place of residence","2021A000011124","Age at time of death, 20 to 24 years","Females","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222067","1.7.3.2","0.3","","","","1"
"2012","Canada, place of residence","2021A000011124","Age at time of death, 20 to 24 years","Females","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222067","1.7.3.2","0.3","","","","1"
"2013","Canada, place of residence","2021A000011124","Age at time of death, 20 to 24 years","Females","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222067","1.7.3.2","0.3","","","","1"
"2014","Canada, place of residence","2021A000011124","Age at time of death, 20 to 24 years","Females","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222067","1.7.3.2","0.3","","","","1"
"2015","Canada, place of residence","2021A000011124","Age at time of death, 20 to 24 years","Females","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222067","1.7.3.2","0.3","","","","1"
"2016","Canada, place of residence","2021A000011124","Age at time of death, 20 to 24 years","Females","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222067","1.7.3.2","0.3","","","","1"
"2017","Canada, place of residence","2021A000011124","Age at time of death, 20 to 24 years","Females","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222067","1.7.3.2","0.3","","","","1"
"2018","Canada, place of residence","2021A000011124","Age at time of death, 20 to 24 years","Females","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222067","1.7.3.2","0.4","","","","1"
"2019","Canada, place of residence","2021A000011124","Age at time of death, 20 to 24 years","Females","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222067","1.7.3.2","0.3","","","","1"
"2020","Canada, place of residence","2021A000011124","Age at time of death, 20 to 24 years","Females","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222067","1.7.3.2","0.4","","","","1"
"2021","Canada, place of residence","2021A000011124","Age at time of death, 20 to 24 years","Females","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222067","1.7.3.2","0.4","","","","1"
"2022","Canada, place of residence","2021A000011124","Age at time of death, 20 to 24 years","Females","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222067","1.7.3.2","0.5","","","","1"
"2023","Canada, place of residence","2021A000011124","Age at time of death, 20 to 24 years","Females","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222067","1.7.3.2","0.4","","","","1"
"2000","Canada, place of residence","2021A000011124","Age at time of death, 25 to 29 years","Both sexes","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222069","1.8.1.2","0.6","","","","1"
"2001","Canada, place of residence","2021A000011124","Age at time of death, 25 to 29 years","Both sexes","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222069","1.8.1.2","0.6","","","","1"
"2002","Canada, place of residence","2021A000011124","Age at time of death, 25 to 29 years","Both sexes","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222069","1.8.1.2","0.5","","","","1"
"2003","Canada, place of residence","2021A000011124","Age at time of death, 25 to 29 years","Both sexes","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222069","1.8.1.2","0.6","","","","1"
"2004","Canada, place of residence","2021A000011124","Age at time of death, 25 to 29 years","Both sexes","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222069","1.8.1.2","0.6","","","","1"
"2005","Canada, place of residence","2021A000011124","Age at time of death, 25 to 29 years","Both sexes","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222069","1.8.1.2","0.6","","","","1"
"2006","Canada, place of residence","2021A000011124","Age at time of death, 25 to 29 years","Both sexes","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222069","1.8.1.2","0.6","","","","1"
"2007","Canada, place of residence","2021A000011124","Age at time of death, 25 to 29 years","Both sexes","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222069","1.8.1.2","0.6","","","","1"
"2008","Canada, place of residence","2021A000011124","Age at time of death, 25 to 29 years","Both sexes","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222069","1.8.1.2","0.6","","","","1"
"2009","Canada, place of residence","2021A000011124","Age at time of death, 25 to 29 years","Both sexes","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222069","1.8.1.2","0.6","","","","1"
"2010","Canada, place of residence","2021A000011124","Age at time of death, 25 to 29 years","Both sexes","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222069","1.8.1.2","0.5","","","","1"
"2011","Canada, place of residence","2021A000011124","Age at time of death, 25 to 29 years","Both sexes","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222069","1.8.1.2","0.5","","","","1"
"2012","Canada, place of residence","2021A000011124","Age at time of death, 25 to 29 years","Both sexes","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222069","1.8.1.2","0.6","","","","1"
"2013","Canada, place of residence","2021A000011124","Age at time of death, 25 to 29 years","Both sexes","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222069","1.8.1.2","0.5","","","","1"
"2014","Canada, place of residence","2021A000011124","Age at time of death, 25 to 29 years","Both sexes","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222069","1.8.1.2","0.6","","","","1"
"2015","Canada, place of residence","2021A000011124","Age at time of death, 25 to 29 years","Both sexes","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222069","1.8.1.2","0.6","","","","1"
"2016","Canada, place of residence","2021A000011124","Age at time of death, 25 to 29 years","Both sexes","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222069","1.8.1.2","0.7","","","","1"
"2017","Canada, place of residence","2021A000011124","Age at time of death, 25 to 29 years","Both sexes","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222069","1.8.1.2","0.7","","","","1"
"2018","Canada, place of residence","2021A000011124","Age at time of death, 25 to 29 years","Both sexes","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222069","1.8.1.2","0.7","","","","1"
"2019","Canada, place of residence","2021A000011124","Age at time of death, 25 to 29 years","Both sexes","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222069","1.8.1.2","0.7","","","","1"
"2020","Canada, place of residence","2021A000011124","Age at time of death, 25 to 29 years","Both sexes","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222069","1.8.1.2","0.8","","","","1"
